gene	Jurkat_18hr_rep1_HTSeq	Jurkat_18hr_rep2_HTSeq	Jurkat_18hr_rep3_HTSeq	Jurkat_4hr_rep1_HTSeq	Jurkat_4hr_rep2_HTSeq	Jurkat_4hr_rep3_HTSeq	Jurkat_unstim_rep1_HTSeq	Jurkat_unstim_rep2_HTSeq	Jurkat_unstim_rep3_HTSeq
14q(II-8)	4	1	11	0	3	25	1	1	20
ACA33	0	1	2	1	1	3	0	0	2
ACA55	0	0	1	0	0	0	0	0	0
ACA60	0	0	0	0	1	0	0	0	0
ENSG00000000003.10	23	21	23	17	7	24	3	6	27
ENSG00000000005.5	3	13	5	7	0	0	1	0	0
ENSG00000000419.8	1210	1719	817	1694	2087	905	1501	885	1059
ENSG00000000457.9	1606	2127	1361	1551	1797	1403	1258	983	1208
ENSG00000000460.12	3465	4307	2735	4842	5777	3704	6084	5196	5253
ENSG00000000938.8	161	222	97	268	330	282	336	196	163
ENSG00000000971.11	406	584	2413	190	200	1507	414	301	2810
ENSG00000001036.9	242	427	1940	142	213	1562	431	287	3242
ENSG00000001084.6	3422	4497	1755	6209	7172	3665	5814	3648	4028
ENSG00000001167.10	5598	6756	4353	7861	9359	5839	11488	6543	8655
ENSG00000001460.13	109	122	581	78	63	401	103	54	469
ENSG00000001461.12	2553	3198	2134	2094	2535	1392	2577	1712	2144
ENSG00000001497.12	3657	3558	2430	4832	6297	3202	5183	3305	4861
ENSG00000001561.6	2637	3840	874	4379	4621	1645	3372	1886	1182
ENSG00000001617.7	95	105	138	71	71	70	60	40	95
ENSG00000001626.10	115	121	69	52	24	25	52	28	26
ENSG00000001629.5	5470	7124	5436	6425	7503	5525	6949	4722	5339
ENSG00000001630.11	32	42	124	27	30	99	11	8	149
ENSG00000001631.10	3486	4609	4050	4381	5411	5080	5277	4112	5566
ENSG00000002016.12	667	804	1003	565	611	526	1010	769	902
ENSG00000002079.8	111	52	40	38	8	7	6	2	12
ENSG00000002330.9	456	579	342	455	594	241	594	488	349
ENSG00000002549.8	1938	2817	1835	3264	4048	2180	3808	1813	2898
ENSG00000002586.13	4	2	0	5	5	3	6	10	3
ENSG00000002587.5	68	39	23	23	3	4	1	0	1
ENSG00000002726.15	44	52	18	16	5	1	6	8	13
ENSG00000002745.8	45	33	32	8	7	2	1	1	3
ENSG00000002746.10	185	114	71	62	16	13	27	25	22
ENSG00000002822.11	1112	1028	893	1074	1505	1034	1215	828	1398
ENSG00000002834.13	25233	30669	22137	11905	14645	18280	15462	8961	16209
ENSG00000002919.10	2354	2847	1273	1518	2058	1153	1589	902	1161
ENSG00000002933.3	23	21	16	8	10	24	10	9	73
ENSG00000003056.3	6032	8269	4331	7183	8542	3638	7308	3807	5084
ENSG00000003096.9	31	15	14	12	4	5	2	1	4
ENSG00000003137.4	1474	1481	605	1439	1702	775	1556	850	782
ENSG00000003147.13	1071	1303	1273	560	660	598	459	281	974
ENSG00000003249.9	75	78	361	72	68	253	109	59	578
ENSG00000003393.10	2467	3289	3911	2910	3478	2812	3072	2340	3250
ENSG00000003400.10	2589	3312	3382	899	1067	1672	1568	1065	1947
ENSG00000003402.15	10882	14139	23333	10511	14096	17909	4603	4133	5717
ENSG00000003436.10	808	1490	7172	1152	1743	10951	227	154	1770
ENSG00000003509.11	663	777	997	597	798	814	562	434	923
ENSG00000003756.12	6378	8063	6167	6918	8220	5713	7944	6075	6105
ENSG00000003987.9	87	44	40	26	9	10	2	1	20
ENSG00000003989.12	137	172	1055	140	183	1320	646	536	4911
ENSG00000004059.6	3803	4343	3326	3701	4744	2787	5448	2641	2806
ENSG00000004139.9	800	991	234	809	848	383	589	501	286
ENSG00000004142.7	4770	6375	4543	6754	8655	4493	9729	5294	8551
ENSG00000004399.8	2295	2688	5833	1519	1784	2441	2162	1451	3199
ENSG00000004455.12	7937	11888	8856	12279	15311	9696	17500	9626	17042
ENSG00000004468.8	3173	4071	1682	1701	1672	723	3781	2472	1719
ENSG00000004478.5	5418	6838	3613	8355	10393	5153	11115	5039	10053
ENSG00000004487.11	6061	7507	6304	7471	8552	5942	12344	6396	11445
ENSG00000004534.10	3349	3284	3506	3502	4714	3160	4567	2759	4618
ENSG00000004660.10	442	455	313	368	455	333	427	265	283
ENSG00000004700.11	1873	2163	1929	2014	2183	1779	2138	1200	1432
ENSG00000004766.11	1255	1458	1309	1336	1577	1250	1612	1028	2024
ENSG00000004776.7	11	11	13	12	10	13	11	2	17
ENSG00000004777.14	1799	1736	1877	969	1348	900	2788	2186	1963
ENSG00000004779.5	1231	1624	1205	1699	2151	1166	2048	1392	1827
ENSG00000004799.7	34	15	19	18	8	8	4	0	11
ENSG00000004809.9	60	36	22	15	8	3	5	5	8
ENSG00000004838.9	109	86	99	82	94	38	169	121	97
ENSG00000004846.12	92	45	45	25	11	11	6	3	7
ENSG00000004848.6	12	6	12	7	4	3	0	1	10
ENSG00000004864.9	547	805	1288	605	715	1502	993	583	2675
ENSG00000004866.14	729	998	1580	1365	1737	2297	1183	722	2538
ENSG00000004897.7	9591	12433	9593	10190	11328	9236	14973	8739	13219
ENSG00000004939.9	67	53	23	32	7	24	5	2	69
ENSG00000004948.9	32	30	21	30	2	13	4	6	12
ENSG00000004961.10	699	1124	609	1224	1491	824	1298	715	857
ENSG00000004975.7	3563	3897	2397	3693	4231	2231	4140	2435	3590
ENSG00000005001.5	66	61	659	49	57	197	1	2	13
